junction_id,latitude,longitude,reachable_nodes,average_distance,maximum_distance
566569620,8.005957,80.510241,4117,168978.34,328074.68
2093610550,8.029829,80.487219,4117,168226.88,327358.8
566569836,8.144123,80.411788,4117,175090.42,335824.63
7034884152,8.236263,80.350961,4117,180917.55,344384.57
2906906430,8.134804,80.431468,4117,173225.85,333335.19
567004309,8.343788,80.4031,4117,189964.04,358701.27
567004704,8.347627,80.402123,4117,190285.74,359140.83
567004605,8.370433,80.400778,4117,192330.84,361713.66
1244985944,8.355279,80.404997,4117,190766.16,360315.63
3305877503,8.371238,80.400505,4117,192424.41,361807.67
5974119999,8.355218,80.404087,4117,190735.0,360208.84
567004763,8.355373,80.404365,4117,190745.0,360244.23
6294506984,8.040197,80.59865,4117,166570.39,330330.24
568948707,7.732379,80.791089,4117,171869.54,320767.71
1896101718,7.706294,80.828739,4117,171202.34,317469.83
3998841948,7.290769,80.60715,4117,134124.07,344658.48
570766414,7.329081,80.408946,4117,128147.47,352874.96
570766423,7.323298,80.396858,4117,127608.38,353712.09
5547928141,7.326612,80.426164,4117,129986.19,355840.35
598167934,6.828932,80.894546,4117,174140.9,447695.2
598168119,6.799137,80.914826,4117,173822.27,452613.48
3666045181,6.841639,80.901703,4117,175684.61,449555.92
3590783632,6.785011,80.932728,4117,173312.09,455911.27
603240958,5.921301,80.589708,4117,207354.28,548951.39
13709350341,5.926711,80.589488,4117,206752.93,548349.89
610929939,6.153563,80.768346,4117,191912.11,542354.1
3633739438,6.25138,80.764425,4117,185206.62,533457.98
3547525265,6.18414,80.793093,4117,188788.6,537774.6
7183361981,6.147763,80.763575,4117,192445.47,543186.21
610944381,6.118727,81.08248,4117,203104.18,552627.47
6247562247,6.121792,81.081674,4117,203263.06,552276.93
610944426,6.28056,80.971911,4117,187241.97,536133.14
610944465,6.301949,81.003249,4117,187176.65,531864.31
610944464,6.300037,81.003157,4117,187378.86,532076.07
6251993878,6.301503,81.003252,4117,187223.66,531913.55
6251962520,6.301967,81.003312,4117,187178.77,531862.26
6251962524,6.317933,80.998202,4117,185725.3,529940.38
610944481,6.174426,81.061023,4117,200240.83,548267.48
6247858277,6.173341,81.061341,4117,200326.46,548392.51
610950712,6.146986,81.127145,4117,205742.42,543824.84
3377484745,6.148253,81.127127,4117,205671.4,543965.04
1720902277,6.146424,81.127124,4117,205773.83,543762.7
610955140,6.431133,81.022503,4117,181695.64,514031.44
610968720,6.259381,81.310215,4117,209413.58,520998.46
