node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
3645054902,7.163361,79.98132,2,2,B208;B225,B-B,True,False
638921965,7.163373,79.981214,2,2,B208;B225,B-B,True,False
6537358011,6.982963,79.874683,2,2,B152;B459,B-B,True,False
6537339895,6.994432,79.874138,2,2,B151;B152,B-B,True,False
6537339897,6.99459,79.874059,2,2,B151;B152,B-B,True,False
2026484605,7.028136,79.923233,4,1,B168,B-Other,False,True
1285521732,7.028131,79.920059,4,1,B168,B-Other,False,True
3470538976,6.343172,80.080354,3,2,B55;B558,B-B,True,True
617823362,7.247451,80.127532,2,2,B290;B324,B-B,True,False
3257742983,6.174664,80.166535,3,1,B143,B-Other,False,True
1637776271,6.224796,80.117395,2,2,B143;B176,B-B,True,False
1140307739,6.271833,80.138763,3,1,B143,B-Other,False,True
1638891066,6.273649,80.137041,4,2,B14;B143,B-B,True,True
13695751609,6.891746,79.87811,3,1,B307,B-Other,False,True
252537800,6.87715,79.89295,2,2,B345;B534,B-B,True,False
6294540737,6.522809,80.11459,3,1,B304,B-Other,False,True
1862816008,6.918117,80.098953,3,1,B188,B-Other,False,True
1147858863,7.208348,79.834808,3,2,B407;B425,B-B,True,True
639204465,7.211445,79.841284,3,1,B261,B-Other,False,True
6545683450,6.947515,80.094032,2,2,B146;B95,B-B,True,False
6545683449,6.947556,80.094094,2,2,B146;B95,B-B,True,False
3702135218,6.875082,79.89196,2,2,B120;B345,B-B,True,False
3702142136,6.875905,79.892317,3,1,B345,B-Other,False,True
2619372954,6.875824,79.899841,3,1,B120,B-Other,False,True
3702142150,6.875444,79.892263,3,2,B120;B345,B-B,True,True
250731057,6.873471,79.891386,3,3,B120;B307;B553,B-B,True,True
3416397811,7.354038,80.682176,3,2,B461;B462,B-B,True,True
1156533842,7.328477,80.673569,3,2,B205;B256,B-B,True,True
257927955,7.306365,80.633967,3,1,B70,B-Other,False,True
3088508750,7.321894,80.624498,3,1,B365,B-Other,False,True
3088508756,7.321469,80.624586,3,1,B365,B-Other,False,True
1500297617,5.982127,80.446796,2,2,B466;B637,B-B,True,False
1185558582,6.81875,79.885969,3,1,B24,B-Other,False,True
1185558591,6.813044,79.881112,3,1,B24,B-Other,False,True
1186247404,6.868904,80.599958,3,2,B149;B71,B-B,True,True
1235783744,7.253494,80.172475,2,2,B456;B63,B-B,True,False
617967898,7.229818,80.201567,3,1,B456,B-Other,False,True
3204336190,7.619815,80.245998,3,1,B079,B-Other,False,True
1239435069,7.619892,80.24593,3,1,B079,B-Other,False,True
1239558969,7.295477,80.236624,2,2,B008;B009,B-B,True,False
3107607858,6.987266,80.013423,3,2,B214;B95,B-B,True,True
637834306,7.028912,79.921805,3,1,B554,B-Other,False,True
1242562100,6.042772,80.227437,3,2,B233;B41,B-B,True,True
1364675869,6.045617,80.22487,2,2,B109;B41,B-B,True,False
3804229985,9.816433,80.135192,2,2,B417;B418,B-B,True,False
1245037494,9.806956,80.157257,2,2,B418;B438,B-B,True,False
638929070,7.163845,79.946182,3,2,B111;B288,B-B,True,True
1261568415,7.229445,79.988481,2,2,B271;B324,B-B,True,False
1261568353,7.286245,79.985578,3,3,B271;B322;B503,B-B,True,True
639245116,7.208845,79.966728,2,2,B108;B321,B-B,True,False
4446651438,7.16761,79.882934,3,1,B598,B-Other,False,True
11722038133,7.166237,79.883024,3,1,B598,B-Other,False,True
