u,v,matched_ref,route_no,road_name,highway,oneway,maxspeed,lanes,name,segment_length_m
2304485540,2304485572,B502,B502,Manampitiya - Aralaganwila - Maduru oya,primary,False,60,2,Manampitiya-Aralaganwila Road,2989.305283670099
2304485572,3664816336,B502,B502,Manampitiya - Aralaganwila - Maduru oya,primary,False,60,2,"['Aralaganwila-Maha Oya Road', 'Main Street', 'Manampitiya-Aralaganwila Road']",15434.043650492396
2304485572,2304485540,B502,B502,Manampitiya - Aralaganwila - Maduru oya,primary,False,60,2,Manampitiya-Aralaganwila Road,2989.305283670098
2315595592,4032560683,B364,B364,Peradeniya - Deltota - Rikiligaskada,primary,True,50,,Galaha Road,21.34623631834659
2315595592,3088821708,B364,B364,Peradeniya - Deltota - Rikiligaskada,primary,False,50,2,Galaha Road,888.6711855135645
2334261008,1156533842,B256,B256,Madawala - Rajawella,primary,False,50,2,"['Madawala Road', 'Teldeniya Road']",8176.225746171379
2337932210,3229498069,B278,B278,Mawanella - Aranayake - Horawela,primary,False,60,2,Mawanella-Aranayaka Road,4533.509938335422
2338839291,10578430168,B385,B385,Rambukkana - Mawanella,primary,False,60,2,Rambukkana-Mawanella Road,229.41281924669238
2342916289,3088508684,B205,B205,Katugastota - Madawala - Bambarella,primary,True,60,,Madawala Road,10.406663695050984
2342916289,3616495484,B205,B205,Katugastota - Madawala - Bambarella,primary,False,60,2,Madawala Road,879.9310198019875
2354387318,8864816866,B46,B046,Bar Road - Batticaloa,primary,False,60,2,Bar Road,3031.9440814070736
2362937081,3785620361,B475,B475,Bulugolla - Dombemada - Wahawa,primary,False,60,2,Bulugolla-Rambukkana Road,13555.378610716678
2362937081,3448831164,B384,B384,Rambukkana - Katupitiya,primary,False,60,,Rambukkana-Katupitiya Road,2683.041174511334
2362937081,5320624392,B384,B384,Rambukkana - Katupitiya,primary,False,60,2,Kurunegala Road,628.3140173851083
2362937346,3448830936,B87,B087,Dambokka - Katupitiya,primary,False,60,2,Dambokka-Katupitiya Road,4994.3348132797755
2375440476,3264925415,B259,B259,Main Access to Gam Udawa 87,primary,False,40,2,Raja Mawatha (Gam Udawa Road),541.8435976609345
2375440996,2375441004,B111,B111,Ekala - Kotadeniyawa,primary,False,,,Ekala-Kotadeniyawa Road,41.64028931770424
2375440996,638973609,B111,B111,Ekala - Kotadeniyawa,primary,False,,,Ekala-Kotadeniyawa Road,25.847288449063818
2375441004,1268334809,B111,B111,Ekala - Kotadeniyawa,primary,False,,,Ekala-Kotadeniyawa Road,2250.1248533568537
2375441004,3784064218,B111,B111,Ekala - Kotadeniyawa,primary,False,,,Ekala-Kotadeniyawa Road,42.407991085376594
2375441004,2375440996,B111,B111,Ekala - Kotadeniyawa,primary,False,,,Ekala-Kotadeniyawa Road,41.64028931770424
2375441056,403881289,B468,B468,Welihena - Katana,primary,False,50,,Welihena-Katana Road,5042.073680649641
2382076814,2382076781,B413,B413,Tennekumbura - Rikiligaskada - Ragala,primary,True,50,,Haragama Road,40.144836972159325
2382076814,3201052237,B413,B413,Tennekumbura - Rikiligaskada - Ragala,primary,False,60,2,"['Rikillagaskada Road', 'Haragama Road']",12052.966487958403
2382152014,2382152088,B69,B069,Buwelikada - Lewella,primary,True,50,,Buwelikada Road,34.4456214655133
2382152088,8605932095,B69,B069,Buwelikada - Lewella,primary,True,50,,Buwelikada Road,41.10569305000933
2382152088,1837478229,B69,B069,Buwelikada - Lewella,primary,False,50,,Buwelikada Road,701.1817398194628
2384952875,2407176375,B593,B593,Pambahinna Kumbalgama Rajawaka Kapugala,primary,False,50,2,"['Samanalawewa Road', 'Pambahinna-Rajawaka Road']",20581.163028652612
2384952875,1709997728,B593,B593,Pambahinna Kumbalgama Rajawaka Kapugala,primary,True,50,1,Samanalawewa Road,41.68082807510427
2398925514,3454145592,B527,B527,Bibile - Pitakumbura - Namal Oya - Inginiyagala,primary,False,60,2,Bibile-Pitakumbura-Namal Oya-Inginiyagala Road,4185.714255029372
