u,v,length_m,highway,name,oneway,ref
129615924,2071116345,975.8163318056761,trunk,High Level Road,False,A4
129615942,9959089698,24.78476408691185,trunk,High Level Road,False,A4
129615942,651260245,33.45358333579149,trunk,High Level Road,False,A4
129615942,9959089701,27.277814330487708,primary,Pepiliyana Road,False,B389
129615942,275520231,501.9881710916891,primary,Subhadrarama Road,False,B389
129616162,10740616709,42.24177769577432,secondary,Stratford Avenue,True,
129616162,10740616716,48.97631539804752,secondary_link,,True,
129616162,10740616705,35.969304804677705,secondary,Stratford Avenue,True,
129616175,10740616731,40.0704865856173,primary,,True,B84
129616175,1978809439,407.26676346801884,primary,Dutugemunu Street,False,B84
129616175,10740616719,54.6817005484128,secondary,Sri Saranankara Road,True,
129616344,622293249,1607.3204767622683,secondary,Anderson Road,False,
129616344,208541425,561.7229950109651,primary,Hospital Road,False,B229
129616344,620401826,1464.851001474006,primary,"['Kotagama Sri Vachissara Mawatha', 'Hospital Road']",False,B229
130019052,4515020714,255.19733919850887,trunk,Galle Road,True,A2
130019052,669218019,10.967091554068391,trunk,Galle Face Roundabout,True,
130346191,652615607,2584.8772691447384,primary,"['Morris Road', 'H. K. Edmond Mawatha']",False,B109
130346191,1093698342,1963.7310919093713,primary,Labuduwa-Wanduramba Road,False,B248
130346191,6496069138,970.9703985001003,secondary,Karapitiya - Labuduwa Road,False,
130444698,1138543695,760.2431459434192,trunk,Sea Street,False,AB12/New A2
130444698,5234964214,38.147110964857845,trunk_link,,True,
130444698,47824936,45.264790783360624,trunk,Sea Street,False,AB12/New A2
130445177,1138481094,302.9117384758351,trunk,Galle Road,False,A2
130445177,130445309,235.54473613120663,trunk,Galle Road,False,A2
130445177,1138480058,2567.1793515666504,primary,Elpitiya Road,False,B14
130445309,130445177,235.54473613120663,trunk,Galle Road,False,A2
130445309,130445589,1038.946846708434,trunk,Galle Road,False,A2
130445309,1637776242,8371.188711648332,secondary,Ambalangoda -Batapola Road,False,
130445589,130445309,1038.946846708434,trunk,Galle Road,False,A2
130445589,248048875,5841.741378795209,trunk,Galle Road,False,A2
130445589,250132276,371.6312442286174,primary,Main Street,False,B49
130462216,12474497827,54.290694578918114,trunk,Anagarika Dharmapala Mawatha,False,New-A2/B535
130462216,1231879141,4202.630623823434,trunk,Matara Road,False,A2
130462216,12474497849,61.71348875571568,trunk,Kumaratunga Mawatha (Old Matara Road),False,Old-A2
138713153,1235775273,14.808550950020768,trunk,,True,
138713153,50760908,35.83405301520513,primary,Wakwella Road,True,B130
138713209,1235775279,3.4834206699965775,trunk,,True,
138713219,3379676395,18.86471055301372,trunk,,True,
138713219,5234940056,44.044767751726624,trunk,Colombo Road,True,A2
138714131,138714420,21.28524466487372,primary,Esplanade Road,True,B37
138714131,138714274,15.969235529646614,primary,,True,
138714274,44534440,6.868721713407233,primary,,True,
138714420,138714274,23.967002263363792,primary,Esplanade Road,True,B37
138714420,5182773491,92.70411689908602,primary,Esplanade Road,False,B37
150994801,621950451,1735.0015844412312,primary,Anagarika Dharmapala Mawatha (Allen Avenue),False,B11
150994801,60798033,555.5456498053705,primary,Hill Street (Dehiwela-Maharagama Road),False,B94
150994801,1533913594,634.9524372864987,primary,Hill Street (Dehiwela-Maharagama Road),False,B94
191792898,1274137038,211.96224874914438,primary,Bambalapitiya Station Road,True,
191792898,666903979,188.14636817703823,trunk,Galle Road,True,A2
191794675,9468145020,14.48651342484058,trunk,Galle Face Roundabout,True,
191794735,7081602427,297.2191736547771,trunk,Galle Face Centre Road,True,A2
191794735,191794675,12.834545931773944,trunk,Galle Face Roundabout,True,
