source,target,distance_m,hops
5693657962,1886079221,139540.19494175623,66
5693657962,1735981103,256703.16186365788,93
5693657962,7042347632,256695.4969062205,92
5693657962,1740742111,159653.6714600154,51
5693657962,1750869639,155517.69651052897,110
5693657962,1783974992,103445.44453066192,34
5693657962,10016226413,103437.23515603249,34
5693657962,1945675344,153765.22574951683,46
5693657962,1797964180,85567.37365584864,82
5693657962,4959610635,129472.45059067984,36
5693657962,1985676681,215283.4684623785,75
5693657962,13749558430,139517.1626500041,65
5693657962,4212767857,169638.69677665769,38
5693657962,3527283166,136993.82953646808,33
5693657962,1981147403,72990.23207089001,36
5693657962,2011981296,120836.79064882721,31
5693657962,5372968715,114215.24038577949,157
5693657962,3794035028,37915.307787523816,50
5693657962,3849049820,103467.24285743771,100
5693657962,2339297860,139189.63622792385,200
5693657962,2339297862,139202.1757264107,201
5693657962,6289622879,71661.58771584432,34
5693657962,3088508709,4316.089252158644,8
5693657962,3088508720,4324.711332172271,9
5693657962,3136385191,114233.88308702188,157
5693657962,3237363036,176526.33611007035,80
5693657962,3237363045,176531.58094908137,82
5693657962,4137095171,176512.0876964589,81
5693657962,3474422106,309148.03913298075,103
5693657962,4136824662,309149.65708335163,102
5693657962,4137349478,137677.78899053065,87
5693657962,6537569535,173556.91002591554,51
5693657962,4963408994,85687.82644909363,81
5693657962,9513937138,41950.95651983756,32
5693657962,4944055508,41961.1884386872,33
5693657962,4944055634,41960.22327264625,33
5693657962,4963408992,85677.46074008662,80
5693657962,6524681176,115921.64494613267,155
5693657962,9628046175,115887.59372708708,154
5693657962,7042347623,256679.13662089306,91
5693657962,8014319682,101916.4806722069,51
5693657962,8032417737,130153.08326664969,63
5693657962,8032417743,130165.41189372758,64
5693657962,8032417746,130167.5697394384,64
5693657962,8032417740,130154.29559142333,63
5693657962,9568699375,41951.761258792314,32
5693657962,11715824035,188704.5986374415,52
310860950,258029156,116728.10883026358,71
310860950,44265234,117434.53845918557,37
310860950,603240642,117192.56043091879,35
310860950,49364356,106744.26595737715,47
310860950,59947552,140582.10936688632,40
310860950,3390634865,132755.88047685736,43
310860950,98554769,141883.00810617144,33
310860950,5693657962,123035.6059631053,92
310860950,8014319683,200815.2818305962,99
310860950,603240427,81831.85831596538,33
310860950,617967952,80574.63692094997,29
310860950,7087535778,80594.53384864765,30
310860950,617968149,83858.05491780258,36
310860950,634172980,320673.521842772,125
310860950,665214512,83225.44021914538,81
310860950,665214513,83153.27317070137,80
310860950,4136824664,407843.42877085495,140
310860950,7599684152,171895.62231273716,87
310860950,6537569534,272441.6941528872,99
310860950,4136824665,407871.76782236574,141
310860950,3174892783,95626.5490017546,49
310860950,1239489717,95633.78340053359,49
310860950,1242694031,274813.60937106534,102
310860950,4139418521,274778.8696424736,101
310860950,2155580115,95412.83097142659,65
310860950,6524681177,82409.71043742508,73
310860950,5217538839,347970.24045187514,128
310860950,7042347620,355430.40673120855,132
310860950,13743364556,269273.9364391825,75
310860950,1684534515,235830.7510137647,62
310860950,11715824040,235835.48270807153,62
310860950,1809805397,149459.11316552485,43
310860950,1728838958,275500.7965379836,122
310860950,7085505934,275480.2254536974,121
310860950,1732642149,293164.89591830986,113
310860950,1886079221,238247.84986087828,104
310860950,1735981103,355410.8167827799,131
310860950,7042347632,355403.1518253425,130
310860950,1740742111,258552.54235233561,99
310860950,1750869639,32482.090547423664,18
310860950,1783974992,203071.05659528665,71
310860950,10016226413,203062.84722065725,71
310860950,1945675344,149480.4977623331,44
310860950,1797964180,41082.525443028775,18
310860950,4959610635,229098.0626553046,73
310860950,1985676681,104357.27499395917,31
310860950,13749558430,238232.26780043455,104
310860950,4212767857,269264.30884128244,75
310860950,3527283166,143061.6310850617,53
310860950,1981147403,171889.1029632102,84
